Species Name,Taxonomy ID,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Acetobacter ascendens,481146,,,,,,,,,,,,,,,,,,0.010000000000000009,0.0725,0.075,0.06999999999999999
Acetobacter oryzifermentans,1633874,,,,,,,,,,,,,,,,,,0.0,0.065,0.005,0.005
Acetobacter pasteurianus,438,,,,,,,,,,,0.06798352741657347,0.067926136354131,0.07474195608893305,0.07448516630846708,0.06759615373673267,0.06363992457569381,0.06592844606086205,0.09194324336241352,0.024062418831031926,0.025865034312755105,0.025865034312755105
Acetobacter pomorum,65959,,,,,,,,,,,,,,,,,,,0.0,0.015000000000000001,0.015000000000000001
Acholeplasma laidlawii,2148,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000013,0.015000000000000013
Achromobacter denitrificans,32002,,,,,,,,,,,,,,,,,,0.0,0.12256517540566825,0.07318166133366716,0.07071067811865475
Achromobacter insolitus,217204,,,,,,,,,,,,,,,,,,,0.009999999999999981,0.10370899457402696,0.089566858950296
Achromobacter spanius,217203,,,,,,,,,,,,,,,,,,,0.065,0.07176350047203661,0.11775681155103795
Achromobacter xylosoxidans,85698,,,,,,,,,,,,0.009428090415820628,0.01178511301977579,0.008164965809277263,0.010274023338281629,0.00816496580927726,0.13561779934802068,0.09167708274154453,0.08861198188356545,0.12700270666407074,0.12516655570345725
Acidipropionibacterium acidipropionici,1748,,,,,,,,,,,,,,0.006236095644623242,0.009428090415820642,0.02054804667656325,0.16667239573486667,0.07577722283113836,0.03781120865563542,0.01767766952966365,0.016345871038277483
Acidipropionibacterium jensenii,1749,,,,,,,,,,,,,,,,,,,,0.0050000000000000044,0.1023067283548187
Acidithiobacillus caldus,33059,,,,,,,,,,,,,0.0,0.0,0.0,0.007500000000000007,0.0050000000000000044,0.020000000000000018,0.020000000000000018,0.1175,0.1175
Acidovorax carolinensis,553814,,,,,,,,,,,,,,,,,,,0.039607448794387184,0.05931905258852339,0.062048368229954305
Acidovorax citrulli,80869,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.03,0.035
Acinetobacter baumannii,470,,,,,,,,,,0.04921225665253397,0.0526400311532829,0.06666798497917402,0.022896683966190382,0.021670934543762316,0.008941715371669276,0.0049860489267782825,0.0034250153653502557,0.002835674103663236,0.001822659554069825,0.004016887747308569,0.003942506674397494
Acinetobacter calcoaceticus,471,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
Acinetobacter haemolyticus,29430,,,,,,,,,,,,,,,,,,0.0050000000000000044,0.07788880963698615,0.028284271247461874,0.028284271247461874
Acinetobacter johnsonii,40214,,,,,,,,,,,,,,,,,,0.025000000000000022,0.020000000000000018,0.08286535263104033,0.082192186706253
Acinetobacter junii,40215,,,,,,,,,,,,,,,,,,,0.07,0.017500000000000016,0.017500000000000016
Acinetobacter nosocomialis,106654,,,,,,,,,,,,,,,,,0.0,0.006236095644623235,0.05066742049877811,0.024590394466132502,0.02484325864293975
Acinetobacter pittii,48296,,,,,,,,,,,,,0.0378662668699552,0.02407670035532278,0.044495630247374976,0.040865208647182724,0.045734742446707485,0.08580080289704624,0.036153991634549985,0.04685201288217093,0.049870944558040094
Acinetobacter radioresistens,40216,,,,,,,,,,,,,,,,,,,,0.010000000000000009,0.010000000000000009
Acinetobacter schindleri,108981,,,,,,,,,,,,,,,,,,,0.0,0.0050000000000000044,0.0050000000000000044
Acinetobacter wuhouensis,1879050,,,,,,,,,,,,,,,,,,,,0.04000000000000001,0.04000000000000001
